Date,State,District,Disease,Cases,Deaths
2022-05-29,Maharashtra,Gadchiroli,Malaria,114,1
2022-05-29,Uttarakhand,Udhamsingh Nagar,Acute Diarrheal Disease,10,0
2022-05-30,Haryana,Gurugram,Acute Diarrheal Disease,6,0
2022-05-30,Karnataka,Mysuru,Acute Diarrheal Disease,41,0
2022-05-30,Tamil Nadu,Kallakurichi,Acute Diarrheal Disease,40,0
2022-05-30,Tamil Nadu,Kallakurichi,Acute Diarrheal Disease,40,0
2022-05-30,Uttarakhand,Udham Singh Nagar,Acute Diarrheal Disease,39,0
2022-05-31,Andhra Pradesh,Nandyal,Food Poisoning,13,2
2022-05-31,Assam,Baksa,Acute Diarrheal Disease,15,0
2022-05-31,Jammu And Kashmir,Shopian,Chickenpox,14,0
2022-05-31,Karnataka,Bbmp,Cholera,169,1
2022-05-31,Madhya Pradesh,Morena,Acute Diarrheal Disease,4,0
2022-05-31,Madhya Pradesh,Narsinghpur,Acute Diarrheal Disease,136,2
2022-05-31,Maharashtra,Satara,Chikungunya,5,0
2022-05-31,Nagaland,Tuensang,Suspected Filariasis,21,0
2022-05-31,Odisha,Mayurbhanj,Acute Diarrheal Disease,73,0
2022-05-31,Tamil Nadu,Pudukkottai,Food Poisoning,17,0
2022-05-31,Tamil Nadu,Pudukkottai,Food Poisoning,28,0
2022-05-31,Uttar Pradesh,Siddharth Nagar,Acute Diarrheal Disease,30,1
2022-06-01,Karnataka,Kalaburagi,Acute Diarrheal Disease,16,0
2022-06-01,Karnataka,Vijayapura,Chikungunya,13,0
2022-06-01,Maharashtra,Nagpur,Acute Diarrheal Disease,41,0
2022-06-01,Mizoram,Aizawl,Leishmaniasis / Kala-Azar,1,0
2022-06-01,Uttar Pradesh,Lucknow,Chickenpox,5,0
2022-06-02,Chhattisgarh,Janjgir- Champa,Food Poisoning,53,0
2022-06-02,Kerala,Kasaragod,Food Poisoning,22,0
2022-06-02,Odisha,Boudh,Food Poisoning,10,0
2022-06-03,Assam,Bongaigaon,Food Poisoning,19,0
2022-06-03,Assam,Sonitpur,Dengue,2,0
2022-06-03,Chhattisgarh,Balod,Food Poisoning,3,1
2022-06-03,Maharashtra,Satara,Chikungunya,5,0
2022-06-03,Tamil Nadu,Dharmapuri,Acute Diarrheal Disease,24,0
2022-06-03,Tamil Nadu,Dharmapuri,Acute Diarrheal Disease,26,0
2022-06-03,Tamil Nadu,Thanjavur,Acute Diarrheal Disease,9,0
2022-06-04,Assam,Bongaigaon,Food Poisoning,20,0
2022-06-04,Kerala,Thiruvanantha Puram,Hand Foot Mouth Disease,5,0
2022-06-04,Madhya Pradesh,Sagar,Chickenpox,5,0
2022-06-04,Madhya Pradesh,Sheopur,Acute Diarrheal Disease,56,0
2022-06-04,Maharashtra,Chandrapur,Malaria,3,1
2022-06-05,Kerala,Kottayam,Food Poisoning,11,0
2022-06-05,Kerala,Thiruvanantha Puram,Acute Diarrheal Disease,8,0
2022-06-06,Chhattisgarh,Bilaspur,Food Poisoning,59,1
2022-06-06,Gujarat,Junagadh,Acute Diarrheal Disease,25,0
2022-06-06,Jharkhand,West Singhbhum,Acute Diarrheal Disease,4,0
2022-06-06,Karnataka,Kolar,Food Poisoning,30,0
2022-06-06,Maharashtra,Chandrapur,Malaria,2,0
2022-06-06,Maharashtra,Yavatmal,Food Poisoning,15,0
2022-06-06,Nagaland,Mon,Fever With Rash,26,0
2022-06-06,Tamil Nadu,Tiruchirappalli,Acute Diarrheal Disease,7,0
2022-06-06,Tamil Nadu,Tiruchirappalli,Cholera,17,0
2022-06-06,Tamil Nadu,Tiruchirappalli,Acute Diarrheal Disease,17,0
2022-06-07,Chhattisgarh,Jashpur,Acute Diarrheal Disease,12,0
2022-06-07,Karnataka,Chikkaballapura,Rabies,2,2
2022-06-07,Karnataka,Davanagere,Food Poisoning,30,0
2022-06-07,Karnataka,Vijayapura,Food Poisoning,23,0
2022-06-07,Kerala,Thiruvanantha Puram,Acute Diarrheal Disease,9,0
2022-06-07,Madhya Pradesh,Bhopal,Acute Diarrheal Disease,32,0
2022-06-07,Madhya Pradesh,Morena,Acute Diarrheal Disease,12,0
2022-06-07,Maharashtra,Latur,Acute Diarrheal Disease,21,0
2022-06-07,Nagaland,Peren,Fever With Rash,4,0
2022-06-08,Karnataka,Chikkaballapu Ra,Dengue,28,1
2022-06-08,Karnataka,Haveri,Encephalitis Sydrome / JE,2,0
2022-06-08,Rajasthan,Bhilwara,Acute Diarrheal Disease,160,0
2022-06-09,Assam,Karbi Anglong,Acute Diarrheal Disease,54,0
2022-06-10,Assam,Dibrugarh,Acute Diarrheal Disease,18,0
2022-06-10,Himachal Pradesh,Solan,Dengue,34,0
2022-06-10,Karnataka,Gadag,Food Poisoning,38,0
2022-06-10,Odisha,Khordha,Acute Diarrheal Disease,7,0
2022-06-11,Jharkhand (Ihip),East Singhbhum,Acute Diarrheal Disease,21,1
2022-06-11,Karnataka,Chikkamagalu Ru,Acute Diarrheal Disease,37,0
2022-06-12,Jammu And Kashmir (Ihip),Ganderbal,Chickenpox,13,0
2022-06-12,Karnataka,Mandya,Acute Diarrheal Disease,14,0
2022-06-12,Karnataka,Vijayapura,Chikungunya,16,0
2022-06-12,Madhya Pradesh (Ihip),Rewa,Acute Diarrheal Disease,20,1
2022-06-13,Karnataka,Dakshina Kannada,Acute Diarrheal Disease,18,0
2022-06-13,Karnataka,Shivamogga,Acute Diarrheal Disease,45,0
2022-06-13,Kerala,Thrissur,Food Poisoning,49,0
2022-06-13,Maharashtra (Ihip),Gondia,Malaria,47,1
2022-06-14,Karnataka,Kolar,Acute Diarrheal Disease,13,0
2022-06-15,Assam (Ihip),Jorhat,Fever of Unknown Origin,25,0
2022-06-15,Chhattisgarh (Ihip),Balod,Acute Diarrheal Disease,8,1
2022-06-15,Maharashtra,Sindhudurg (Kudal),Dengue,7,0
2022-06-15,Maharashtra (Ihip),Nagpur,Acute Diarrheal Disease,47,0
2022-06-15,Punjab (Ihip),Patiala,Acute Diarrheal Disease,283,0
2022-06-16,Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,Acute Diarrheal Disease,17,0
2022-06-16,Jharkhand (Ihip),West Singhbhum,Fever With Rash,5,0
2022-06-16,Kerala,Kollam,Dengue,42,0
2022-06-16,Uttar Pradesh (Ihip),Kaushambi,Acute Diarrheal Disease,8,2
2022-06-17,Jammu And Kashmir (Ihip),Jammu,Fever With Rash,8,0
2022-06-18,Punjab,Fatehgarh Sahib,Acute Diarrheal Disease,6,0
2022-06-18,Tamil Nadu,Thanjavur,Chickenpox,8,0
2022-06-18,Uttar Pradesh (Ihip),Lucknow,Fever of Unknown Origin,19,0
2022-06-20,Karnataka,Mandya,Acute Diarrheal Disease,21,0
2022-06-20,Karnataka,Mysuru,Acute Diarrheal Disease,26,0
2022-06-20,Kerala,Kozhikode,Hepatitis/Jaundice,17,0
2022-06-22,Himachal Pradesh,Mandi,Acute Diarrheal Disease,19,0
2022-06-22,Mizoram,Aizawl,Acute Diarrheal Disease,24,0
2022-06-22,Punjab,Patiala,Acute Diarrheal Disease,140,0
2022-06-22,Rajasthan,Jalore,Acute Diarrheal Disease,115,0
2022-06-23,Karnataka,Bangalore Rural,Dengue,14,1
2022-06-23,Madhya Pradesh,Dhar,Malaria,10,0
2022-06-23,Maharashtra,Sangli,Acute Diarrheal Disease,83,0
2022-06-23,Tamil Nadu,Tiruvannamalai,Food Poisoning,47,0
2022-06-24,Jharkhand,Giridih,Measles,2,0
2022-06-24,Karnataka,Mandya,Rabies,1,1
2022-06-24,Tamil Nadu,Thiruvarur,Food Poisoning,12,0
2022-06-25,Chhattisgarh,Balod,Food Poisoning,15,0
2022-06-25,Kerala,Wayanad,Mumps,11,0
2022-06-25,Tamil Nadu,Thiruvarur,Food Poisoning,12,0
2022-06-26,Karnataka,Kalaburagi,Acute Diarrheal Disease,19,0
2022-06-27,Chhattisgarh,Kabirdham,Food Poisoning,9,0
2022-06-27,Madhya Pradesh,Bhopal,Chickenpox,3,0
2022-06-27,Madhya Pradesh,Seoni,Acute Diarrheal Disease,35,0
2022-06-27,Telangana,Hyderabad,Acute Diarrheal Disease,65,0
2022-06-28,Odisha,Bargarh,Food Poisoning,95,0
2022-06-28,Tamil Nadu,Villupuram,Acute Diarrheal Disease,8,0
2022-06-29,Gujarat,Chhota Udepur,Acute Diarrheal Disease,203,0
2022-06-29,Uttar Pradesh,Lucknow,Food Poisoning,6,0
2022-06-30,Madhya Pradesh,Narsinghpur,Acute Diarrheal Disease,20,0
2022-07-01,Arunachal Pradesh,Kra Daadi,Acute Diarrheal Disease,20,0
2022-07-01,Karnataka,Bagalkote,Acute Diarrheal Disease,25,0
2022-07-01,Madhya Pradesh,Khargone,Acute Diarrheal Disease,19,0
2022-07-02,Nagaland,Kiphire,Acute Diarrheal Disease,76,0
2022-07-02,Uttar Pradesh,Rae Bareli,Chickenpox,25,0
2022-07-03,Karnataka,Chitradurga,Encephalitis Sydrome / JE,1,0
2022-07-03,Karnataka,Raichur,Acute Diarrheal Disease,42,0
2022-07-03,Karnataka,Vijayapura,Acute Diarrheal Disease,54,0
2022-07-03,Madhya Pradesh,Umaria,Acute Diarrheal Disease,7,1
2022-07-04,Maharashtra,Chandrapur,Acute Diarrheal Disease,45,0
2022-07-04,Odisha,Subarnapur,Acute Diarrheal Disease,24,0
2022-07-04,Uttarakhand,Rudraprayag,Acute Diarrheal Disease,12,0
2022-07-05,Odisha,Sundargarh,Food Poisoning,108,0
2022-07-06,Haryana,Nuh,Measles,8,0
2022-07-06,Karnataka,Bidar,Chikungunya,36,0
2022-07-07,Chhattisgarh,Raigarh,Acute Diarrheal Disease,27,0
2022-07-07,Haryana,Kaithal,Hepatitis/Jaundice,13,0
2022-07-07,Jharkhand,West Singhbhum,Fever With Rash,5,0
2022-07-07,Telangana,Jogulamba Gadwal,Acute Diarrheal Disease,38,0
2022-07-15,Odisha,Nabarangpur,Acute Diarrheal Disease,8,0
2022-07-16,Chhattisgarh,Janjgir Champa,Acute Diarrheal Disease,22,0
2022-07-16,Karnataka,Kalaburagi,Acute Diarrheal Disease,33,0
2022-07-16,Odisha,Mayurbhanj,Acute Diarrheal Disease,20,0
2022-07-16,Punjab,S.A.S Nagar,Acute Diarrheal Disease,90,0
2022-07-16,Rajasthan,Pratapgarh,Dengue,11,0
2022-07-17,Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,26,1
2022-07-18,Karnataka,Uttara Kannada,Food Poisoning,21,0
2022-07-18,Madhya Pradesh,Sagar,Acute Diarrheal Disease,23,0
2022-07-18,Punjab,Mansa,Food Poisoning,13,0
2022-07-19,Bihar,Pashchim Champaran,Food Poisoning,14,0
2022-07-19,Karnataka,Chamarajanagar,Food Poisoning,12,0
2022-07-19,Karnataka,Gadag,Chikungunya,21,0
2022-07-19,Madhya Pradesh,Sagar,Fever With Rash,5,0
2022-07-20,Madhya Pradesh,Sehore,Acute Diarrheal Disease,15,0
2022-07-20,Odisha,Bargarh,Acute Diarrheal Disease,14,0
2022-07-21,Karnataka,Chitradurga,Food Poisoning,58,0
2022-07-21,Tamil Nadu,Kanyakumari,Food Poisoning,25,0
2022-07-21,Tamil Nadu,Madurai,Measles,6,1
2022-07-22,Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,31,0
2022-07-22,Odisha,Subarnapur,Acute Diarrheal Disease,51,1
2022-07-23,Jharkhand,East Singhbum,Chickenpox,22,0
2022-07-23,Karnataka,Ballari,Acute Diarrheal Disease,44,1
2022-07-23,Odisha,Subarnapur,Acute Diarrheal Disease,13,0
2022-07-24,Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,12,0
2022-07-25,Chhattisgarh,Mahasamund,Acute Diarrheal Disease,29,0
2022-07-25,Karnataka,Hassan,Acute Diarrheal Disease,25,0
2022-07-25,Odisha,Nuapada,Cholera,35,0
2022-07-26,Chhattisgarh,Mahasamund,Acute Diarrheal Disease,20,0
2022-07-26,Chhattisgarh,Raigarh,Acute Diarrheal Disease,49,0
2022-07-26,Maharashtra,Washim,Cholera,2,0
2022-07-27,Madhya Pradesh,Damoh,Acute Diarrheal Disease,56,0
2022-07-27,Odisha,Cuttack,Acute Diarrheal Disease,12,0
2022-07-27,Uttarakhand,Uttar Kashi,Hepatitis/Jaundice,28,0
2022-07-28,Madhya Pradesh,Shivpuri,Acute Diarrheal Disease,14,0
2022-07-28,Mizoram,Serchhip,Food Poisoning,26,0
2022-07-28,Odisha,Koraput,Acute Diarrheal Disease,8,0
2022-07-28,Punjab,Fatehgarh Sahib,Dengue,19,0
2022-07-28,Tamil Nadu,Nagapatinam,Food Poisoning,24,0
2022-07-28,Telangana,Jogulamba Gadwal,Acute Diarrheal Disease,65,0
2022-07-28,Uttar Pradesh,Fatehpur,Dengue,9,0
2022-07-28,Uttar Pradesh,Kaushambi,Acute Diarrheal Disease,12,0
2022-07-29,Chhattisgarh,Baloda Bazar,Food Poisoning,3,1
2022-07-29,Karnataka,Chitradunga,Acute Diarrheal Disease,29,0
2022-07-29,Karnataka,Mysuru,Fever of Unknown Origin,60,0
2022-07-29,Punjab,S.A.S Nagar,Acute Diarrheal Disease,121,0
2022-07-29,Sikkim,West District,Dengue,5,0
2022-07-30,Chhattisgarh,Janjgir - Champa,Acute Diarrheal Disease,16,0
2022-07-30,Odisha,Nabarangpur,Food Poisoning,24,0
2022-07-31,Odisha,Balasore,Food Poisoning,12,0
2022-07-31,Odisha,Nabarangpur,Food Poisoning,122,0
2022-07-31,Odisha,Nabarangpur,Cholera,10,0
2022-08-01,Maharashtra,Akola,Dengue,4,0
2022-08-01,Maharashtra,Chandrapur,Acute Diarrheal Disease,5,1
2022-08-01,Telangana,Medak,Acute Diarrheal Disease,22,0
2022-08-01,Uttar Pradesh,Kaushambi,Acute Diarrheal Disease,22,0
2022-08-02,Karnataka,Mysuru,Fever of Unknown Origin,25,0
2022-08-02,Mizoram,Aizawl West,Measles,20,0
2022-08-02,Telangana,Medak,Acute Diarrheal Disease,8,0
2022-08-03,Karnataka,Dharwad,Acute Diarrheal Disease,17,0
2022-08-04,Maharashtra,Chandrapur,Acute Diarrheal Disease,37,0
2022-08-05,Karnataka,Ballari,Cholera,147,0
2022-08-05,Punjab,Ludhiana,Measles,6,0
2022-08-05,Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,23,0
2022-08-06,Kerala,Kasaragod,Acute Diarrheal Disease,18,0
2022-08-06,Punjab,Patiala,Acute Diarrheal Disease,110,2
2022-08-07,Jharkhand,Lohardaga,Food Poisoning,7,0
2022-08-07,Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,14,0
2022-08-08,Haryana,Nuh,Measles,30,0
2022-08-08,Uttarakhand,Pauri Garhwal,Dengue,11,0
2022-08-09,Chhattisgarh,Balodabazar,Acute Diarrheal Disease,10,0
2022-08-10,Kerala,Kollam,Food Poisoning,8,0
2022-08-10,West Bengal,Hooghly,Food Poisoning,119,0
2022-08-12,Tamil Nadu,Tiruchirappalli,Chickenpox,7,0
2022-08-13,Karnataka,Vijayanagara,Acute Diarrheal Disease,79,1
2022-08-13,Uttar Pradesh,Pratapgarh,Food Poisoning,6,0
2022-08-14,Odisha,Kalahandi,Cholera,32,0
2022-08-16,Assam,Bongaigaon,Encephalitis Sydrome / JE,2,0
2022-08-16,Tamil Nadu,Dindigul,Dengue,20,0
2022-08-16,Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,22,0
2022-08-17,Karnataka,Raichur,Food Poisoning,58,0
2022-08-18,Haryana,Yamuna Nagar,Acute Diarrheal Disease,25,0
2022-08-18,Karnataka,Bagalkote,Acute Diarrheal Disease,111,0
2022-08-19,Karnataka,Ballari,Acute Diarrheal Disease,11,1
2022-08-19,Odisha,Dhenkanal,Food Poisoning,11,0
2022-08-20,Madhya Pradesh,Rajgarh,Influenza,1,1
2022-08-20,Punjab,Hoshiarpur,Acute Diarrheal Disease,13,0
2022-08-20,Uttar Pradesh,Mirzapur,Dengue,4,0
2022-08-21,Karnataka,Hassan,Acute Diarrheal Disease,21,0
2022-08-21,Kerala,Ernakulam,Food Poisoning,16,0
2022-08-21,Odisha,Koraput,Acute Diarrheal Disease,7,0
2022-08-22,Kerala,Thrissur,Acute Meningoence Phalitis (Naegleria Fowleri),1,1
2022-08-22,Madhya Pradesh,Satna,Acute Diarrheal Disease,35,0
2022-08-22,Odisha,Cuttack,Acute Diarrheal Disease,16,0
2022-08-22,Uttar Pradesh,Chitrakoot,Acute Diarrheal Disease,19,2
2022-08-22,Uttarakhand,Nainital,Measles,6,0
2022-08-23,Andhra Pradesh,Ysr Kadapa,Dengue,4,0
2022-08-23,Jammu And Kashmir,Bandipora,Chickenpox,6,0
2022-08-23,Kerala,Malappuram,Leishmaniasis / Kala-Azar,1,0
2022-08-23,Madhya Pradesh,Katni,Scrub Typhus,8,0
2022-08-23,Madhya Pradesh,Shivpuri,Acute Diarrheal Disease,58,0
2022-08-23,Odisha,Cuttack,Hepatitis/Jaundice,13,0
2022-08-23,Odisha,Keonjhar,Acute Diarrheal Disease,43,0
2022-08-24,Chhattisgarh,Mahasamund,Acute Diarrheal Disease,20,0
2022-08-24,Jharkhand,Jamtara,Measles,4,0
2022-08-24,Madhya Pradesh,Indore,Acute Diarrheal Disease,4,2
2022-08-24,Maharashtra,Nashik,Cholera,10,2
2022-08-25,Chhattisgarh,Balodabazar,Acute Diarrheal Disease,32,0
2022-08-25,Gujarat,Anand,Acute Diarrheal Disease,39,0
2022-08-25,Madhya Pradesh,Sagar,Acute Diarrheal Disease,7,0
2022-08-25,Maharashtra,Yavatmal,Acute Diarrheal Disease,12,0
2022-08-25,Uttarakhand,Pauri Garhwal,Influenza,110,0
2022-08-26,Karnataka,Uttara Kannada,Leptospirosis,1,1
2022-08-26,Uttarakhand,Dehradun,Hepatitis/Jaundice,5,0
2022-08-27,Jharkhand,Jamtara,Measles,3,0
2022-08-27,Uttar Pradesh,Sitapur,Malaria,205,0
2022-08-27,Uttar Pradesh,Sonbhadra,Acute Diarrheal Disease,13,0
2022-08-28,Karnataka,Shivamogga,Diphtheria,1,0
2022-08-29,Uttarakhand,Udhamsingh Nagar,Fever With Rash,4,0
2022-08-30,Madhya Pradesh,Mandla,Acute Diarrheal Disease,6,0
2022-08-30,Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,4,2
2022-08-30,Uttarakhand,Nainital,Fever With Rash,10,0
2022-08-31,Karnataka,Uttara Kannada,Leptospirosis,1,1
2022-08-31,Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,9,0
2022-08-31,Uttarakhand,Udhamsingh Nagar,Food Poisoning,38,0
2022-09-01,Bihar,Nalanda,Dengue,14,0
2022-09-01,Karnataka,Kalaburagi,Dengue,13,0
2022-09-01,Mizoram,Aizawl,Acute Diarrheal Disease,16,0
2022-09-01,Odisha,Mayurbhanj,Acute Diarrheal Disease,13,0
2022-09-01,Uttar Pradesh,Ghaziabad,Food Poisoning,29,0
2022-09-02,Jharkhand,Sahebganj,Dengue,7,0
2022-09-02,Karnataka,Koppal,Diphtheria,1,0
2022-09-02,Odisha,Kalahandi,Cholera,17,1
2022-09-04,Kerala,Malappuram,Food Poisoning,9,0
2022-09-05,Bihar,Nalanda,Dengue,10,0
2022-09-05,Telangana,Warangal,Food Poisoning,33,0
2022-09-05,Telangana,Warangal,Acute Diarrheal Disease,33,0
2022-09-05,Uttarakhand,Dehradun,Dengue,23,0
2022-09-05,Uttarakhand,Haridwar,Dengue,110,0
2022-09-06,Chhattisgarh,Mahasamund,Acute Diarrheal Disease,29,0
2022-09-06,Uttar Pradesh,Amroha,Food Poisoning,39,0
2022-09-07,Jammu And Kashmir,Rajauri,Acute Diarrheal Disease,25,0
2022-09-07,Karnataka,Dakshina Kannada,Influenza,230,0
2022-09-07,Madhya Pradesh,Rewa,Acute Diarrheal Disease,30,0
2022-09-07,Uttar Pradesh,Chandauli,Acute Diarrheal Disease,13,0
2022-09-08,Gujarat,Junagadh,Food Poisoning,47,0
2022-09-08,Karnataka,Dakshina Kannada,Fever With Rash,11,0
2022-09-08,Maharashtra,Yavatmal,Acute Diarrheal Disease,64,0
2022-09-08,Uttarakhand,Rudra Prayag,Acute Diarrheal Disease,12,0
2022-09-09,Tamil Nadu,Thanjavur,Food Poisoning,48,0
2022-09-10,Jharkhand,Sahebganj,Acute Diarrheal Disease,20,0
2022-09-10,Karnataka,Kalaburagi,Acute Diarrheal Disease,67,0
2022-09-10,Odisha,Mayurbhanj,Acute Diarrheal Disease,11,0
2022-09-10,Rajasthan,Sikar,Food Poisoning,10,0
2022-09-10,Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,3,1
2022-09-11,Gujarat,Anand,Acute Diarrheal Disease,10,0
2022-09-11,Kerala,Ernakulam,Hepatitis/Jaundice,21,0
2022-09-11,Kerala,Malappuram,Food Poisoning,15,0
2022-09-11,Kerala,Malappuram,Hepatitis/Jaundice,17,0
2022-09-11,Kerala,Malappuram,Hepatitis/Jaundice,17,0
2022-09-11,Madhya Pradesh,Khargone,Food Poisoning,12,0
2022-09-12,Karnataka,Uttara Kannada,Leptospirosis,1,1
2022-09-13,Uttar Pradesh,Hardoi,Diphtheria,4,4
2022-09-14,Assam,Kamrup,Food Poisoning,34,0
2022-09-14,Karnataka,Uttara Kannada,Leptospirosis,1,1
2022-09-14,Kerala,Palakkad,Chickenpox,7,0
2022-09-15,Uttar Pradesh,Kannauj,Diphtheria,10,0
2022-09-16,Assam,Goalpara,Acute Diarrheal Disease,4,0
2022-09-16,Karnataka,Mandya,Food Poisoning,29,0
2022-09-17,Andaman And Nicobar Islands,South Andaman,Acute Diarrheal Disease,23,0
2022-09-17,Karnataka,Kalaburagi,Cholera,7,0
2022-09-17,Maharashtra,Pune,Dengue,20,1
2022-09-18,Karnataka,Kalaburagi,Leptospirosis,7,0
2022-09-18,Odisha,Kalahandi,Acute Diarrheal Disease,48,0
2022-09-18,Uttar Pradesh,Hardoi,Acute Diarrheal Disease,35,0
2022-09-19,Chhattisgarh,Dhamtari,Acute Diarrheal Disease,207,0
2022-09-19,Jammu And Kashmir,Kulgam,Hepatitis/Jaundice,20,0
2022-09-19,Karnataka,Tumkur,Food Poisoning,16,0
2022-09-19,Karnataka,Tumkur,Encephalitis Sydrome / JE,1,0
2022-09-19,Madhya Pradesh,Mandla,Acute Diarrheal Disease,5,0
2022-09-19,Maharashtra,Chandrapur,Dengue,17,0
2022-09-19,Odisha,Nabarangpur,Acute Diarrheal Disease,10,0
2022-09-19,Tamil Nadu,Salem,Food Poisoning,13,0
2022-09-19,Telangana,Kumuram Bheem Asifabad,Acute Diarrheal Disease,70,0
2022-09-20,Bihar,Nalanda,Dengue,39,0
2022-09-20,Chhattisgarh,Mahasamund,Acute Diarrheal Disease,22,0
2022-09-20,Maharashtra,Bhandara,Hand Foot Mouth Disease,19,0
2022-09-20,Maharashtra,Nanded,Acute Diarrheal Disease,56,0
2022-09-20,Meghalaya,East Khasi Hills,Acute Diarrheal Disease,142,0
2022-09-20,Tamil Nadu,Coimbatore,Food Poisoning,13,0
2022-09-21,Karnataka,Kalaburagi,Acute Diarrheal Disease,12,0
2022-09-21,Uttar Pradesh,Fatehpur,Scrub Typhus,11,0
2022-09-22,Karnataka,Hassan,Acute Diarrheal Disease,12,0
2022-09-22,Kerala,Kollam,Dengue,5,1
2022-09-22,Madhya Pradesh,Indore,Acute Diarrheal Disease,37,0
2022-09-22,Maharashtra,Chandrapur,Malaria,14,1
2022-09-23,Kerala,Kollam,Food Poisoning,20,0
2022-09-23,Madhya Pradesh,Mandla,Fever With Rash,5,0
2022-09-23,Madhya Pradesh,Mandla,Scrub Typhus,6,0
2022-09-23,Maharashtra,Pune,Dengue,10,0
2022-09-23,Tamil Nadu,Thanjavur,Typhoid,29,0
2022-09-23,Uttar Pradesh,Hardoi,Fever of Unknown Origin,31,0
2022-09-24,Bihar,Purbi Champaran,Acute Diarrheal Disease,72,0
2022-09-24,Jharkhand,West Singhbhum,Malaria,11,0
2022-09-24,Madhya Pradesh,Rewa,Acute Diarrheal Disease,32,2
2022-09-25,Uttar Pradesh,Bahraich,Food Poisoning,12,0
2022-09-25,Uttar Pradesh,Bhadohi,Dengue,13,0
2022-09-25,Uttar Pradesh,Fatehpur,Leptospirosis,8,0
2022-09-26,Bihar,Nalanda,Dengue,31,0
2022-09-26,Maharashtra,Pune,Dengue,7,1
2022-09-27,Maharashtra,Aurangabad,Food Poisoning,7,0
2022-09-27,Odisha,Koraput,Dengue,10,4
2022-09-27,Odisha,Nabarangpur,Food Poisoning,7,0
2022-09-28,Kerala,Kasaragod,Monkey Pox,1,0
2022-09-29,Chhattisgarh,Balodabazar,Acute Diarrheal Disease,43,0
2022-09-29,Kerala,Kollam,Food Poisoning,65,0
2022-09-29,Maharashtra,Parbhani,Chikungunya,76,0
2022-09-30,Jharkhand,East Singhbum,Acute Diarrheal Disease,15,0
2022-09-30,Kerala,Alappuzha,Food Poisoning,27,0
2022-09-30,Rajasthan,Kota,Acute Diarrheal Disease,31,0
2022-10-03,Gujarat,Gandhinagar,Food Poisoning,114,0
2022-10-04,Karnataka,Bidar,Rabies,1,1
